==========	0	==========
bush	0.0236089
democrat	0.0130898
vote	0.012124
campaign	0.0119492
presid	0.0117856
senat	0.0113554
dukaki	0.0106192
state	0.00969762
republican	0.00938271
committ	0.00810453
==========	1	==========
polic	0.0217364
kill	0.0113314
peopl	0.0105795
report	0.0100669
forc	0.00979059
fire	0.00910536
offici	0.00851503
soviet	0.00803306
attack	0.00657672
militari	0.00595104
==========	2	==========
soviet	0.00805668
nation	0.00794971
presid	0.00774328
union	0.00695841
program	0.00645137
state	0.00587705
plan	0.00579767
peopl	0.00562621
gorbachev	0.00509031
chang	0.00502231
==========	3	==========
billion	0.0157449
million	0.0145803
rate	0.0139228
bank	0.0108779
stock	0.0106859
compani	0.0106629
dollar	0.0101962
price	0.0099341
market	0.00965405
share	0.00935249
==========	4	==========
state	0.0102261
children	0.0078085
peopl	0.00686232
work	0.00610113
famili	0.00599452
live	0.00597504
black	0.00593827
like	0.00522949
bill	0.00451632
school	0.00443645
==========	5	==========
court	0.0124276
case	0.00883259
worker	0.00777296
attorney	0.00772256
employ	0.0074497
servic	0.00641017
file	0.0062161
investig	0.00578922
feder	0.0057531
depart	0.00558368
==========	6	==========
trade	0.0157985
million	0.0143529
cent	0.0138774
market	0.0126575
price	0.0115893
futur	0.00998211
compani	0.00868202
product	0.00809493
higher	0.00608484
farmer	0.00602527
==========	7	==========
citi	0.00729449
water	0.00706023
area	0.00649778
state	0.00612251
peopl	0.00530267
nation	0.0051339
report	0.00505444
mile	0.00484675
high	0.00459484
southern	0.00439071
==========	8	==========
charg	0.00797524
drug	0.00692462
court	0.0053573
show	0.00504915
play	0.00490626
sentenc	0.00482483
trial	0.00429419
home	0.00423102
judg	0.00417147
convict	0.00413123
==========	9	==========
govern	0.0187174
parti	0.0107414
soviet	0.0092958
offici	0.00921987
presid	0.00883908
state	0.00808246
leader	0.00781213
unit	0.0077567
minist	0.00746424
nation	0.00730281
